accession,comment,created,strain,organism,mol_type,isolation_source,db_xref,country,collection_date,collected_by,gi,length,other_seqids,updated,date,region,host,division,note,serotype,G,P
LC592882,,08-MAY-2021,LC592882,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-02-02,,2033869568,839,"{'dbj': ['LC592882.1'], 'gi': ['2033869568']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592883,,08-MAY-2021,LC592883,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-02-02,,2033869570,839,"{'dbj': ['LC592883.1'], 'gi': ['2033869570']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592884,,08-MAY-2021,LC592884,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-02-02,,2033869572,839,"{'dbj': ['LC592884.1'], 'gi': ['2033869572']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592885,,08-MAY-2021,LC592885,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-02-02,,2033869574,839,"{'dbj': ['LC592885.1'], 'gi': ['2033869574']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592886,,08-MAY-2021,LC592886,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-05-11,,2033869576,839,"{'dbj': ['LC592886.1'], 'gi': ['2033869576']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592887,,08-MAY-2021,LC592887,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-05-11,,2033869578,839,"{'dbj': ['LC592887.1'], 'gi': ['2033869578']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592888,,08-MAY-2021,LC592888,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-05-11,,2033869580,839,"{'dbj': ['LC592888.1'], 'gi': ['2033869580']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592889,,08-MAY-2021,LC592889,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-05-11,,2033869582,839,"{'dbj': ['LC592889.1'], 'gi': ['2033869582']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592890,,08-MAY-2021,LC592890,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-07-21,,2033869584,839,"{'dbj': ['LC592890.1'], 'gi': ['2033869584']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592891,,08-MAY-2021,LC592891,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-07-21,,2033869586,839,"{'dbj': ['LC592891.1'], 'gi': ['2033869586']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592892,,08-MAY-2021,LC592892,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-07-21,,2033869588,839,"{'dbj': ['LC592892.1'], 'gi': ['2033869588']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592893,,08-MAY-2021,LC592893,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-09-21,,2033869590,839,"{'dbj': ['LC592893.1'], 'gi': ['2033869590']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
LC592894,,08-MAY-2021,LC592894,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-09-21,,2033869592,839,"{'dbj': ['LC592894.1'], 'gi': ['2033869592']}",08-MAY-2021,2021-05-08,Asia,Bos taurus,,,,,
KC254789,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254789,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2011,,460479290,836,"{'gb': ['KC254789.1'], 'gi': ['460479290']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
KF724045,,29-DEC-2013,KF724045,Bovine rotavirus A,genomic RNA,calf feces,taxon:35333,Tunisia,05-Apr-2007,,568604381,835,"{'gb': ['KF724045.1'], 'gi': ['568604381']}",02-JUN-2014,2014-06-02,Africa,bovine,,genotype: G6,G6,G6,None
KF724046,,29-DEC-2013,KF724046,Bovine rotavirus A,genomic RNA,calf feces,taxon:35333,Tunisia,27-Jun-2007,,568604383,835,"{'gb': ['KF724046.1'], 'gi': ['568604383']}",02-JUN-2014,2014-06-02,Africa,bovine,,genotype: G6,G6,G6,None
LC594507,,15-MAY-2021,LC594507,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-12-07,,2038456393,835,"{'dbj': ['LC594507.1'], 'gi': ['2038456393']}",15-MAY-2021,2021-05-15,Asia,Bos taurus,,,,,
LC594508,,15-MAY-2021,LC594508,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2019-12-07,,2038456395,835,"{'dbj': ['LC594508.1'], 'gi': ['2038456395']}",15-MAY-2021,2021-05-15,Asia,Bos taurus,,,,,
LC594509,,15-MAY-2021,LC594509,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2020-02-01,,2038456397,835,"{'dbj': ['LC594509.1'], 'gi': ['2038456397']}",15-MAY-2021,2021-05-15,Asia,Bos taurus,,,,,
LC594510,,15-MAY-2021,LC594510,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2020-02-01,,2038456399,835,"{'dbj': ['LC594510.1'], 'gi': ['2038456399']}",15-MAY-2021,2021-05-15,Asia,Bos taurus,,,,,
LC594511,,15-MAY-2021,LC594511,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2020-02-01,,2038456401,835,"{'dbj': ['LC594511.1'], 'gi': ['2038456401']}",15-MAY-2021,2021-05-15,Asia,Bos taurus,,,,,
LC594512,,15-MAY-2021,LC594512,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,2020-02-01,,2038456403,835,"{'dbj': ['LC594512.1'], 'gi': ['2038456403']}",15-MAY-2021,2021-05-15,Asia,Bos taurus,,,,,
KC254787,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254787,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2011,,460479286,833,"{'gb': ['KC254787.1'], 'gi': ['460479286']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
KF724049,,29-DEC-2013,KF724049,Bovine rotavirus A,genomic RNA,calf feces,taxon:35333,Tunisia,24-Mar-2010,,568604389,833,"{'gb': ['KF724049.1'], 'gi': ['568604389']}",02-JUN-2014,2014-06-02,Africa,bovine,,genotype: G10,G10,G10,None
KY021148,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021148,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,29-May-2014,,1205242851,833,"{'gb': ['KY021148.1'], 'gi': ['1205242851']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
MN166829,Sequencing Technology :: Sanger dideoxy sequencing,25-DEC-2019,MN166829,Rotavirus A,genomic RNA,fecal sample,taxon:28875,Czech Republic,Apr-2017,,1786708006,833,"{'gb': ['MN166829.1'], 'gi': ['1786708006']}",25-DEC-2019,2019-12-25,Europe,Homo sapiens,,,,,
KF724037,,29-DEC-2013,KF724037,Bovine rotavirus A,genomic RNA,calf feces,taxon:35333,Tunisia,04-Sep-2006,,568604365,831,"{'gb': ['KF724037.1'], 'gi': ['568604365']}",02-JUN-2014,2014-06-02,Africa,bovine,,genotype: G10,G10,G10,None
KF724038,,29-DEC-2013,KF724038,Bovine rotavirus A,genomic RNA,calf feces,taxon:35333,Tunisia,23-Oct-2006,,568604367,827,"{'gb': ['KF724038.1'], 'gi': ['568604367']}",02-JUN-2014,2014-06-02,Africa,bovine,,genotype: G10,G10,G10,None
HG513058,,02-SEP-2014,HG513058,Human rotavirus A,genomic RNA,stool specimen collected from a child with gastroenteritis,taxon:10941,Viet Nam,,,675817093,825,"{'emb': ['HG513058.1'], 'gi': ['675817093']}",02-SEP-2014,2014-09-02,Asia,Homo sapiens,,,,,
EU348714,,14-JAN-2008,EU348714,Rotavirus A pig/Slovenia/O11-4/G4,genomic RNA,,taxon:492506,Slovenia,,,164521158,824,"{'gb': ['EU348714.1'], 'gi': ['164521158']}",26-JUL-2016,2016-07-26,Europe,,,,,,
KF724047,,29-DEC-2013,KF724047,Bovine rotavirus A,genomic RNA,calf feces,taxon:35333,Tunisia,21-Feb-2009,,568604385,824,"{'gb': ['KF724047.1'], 'gi': ['568604385']}",02-JUN-2014,2014-06-02,Africa,bovine,,genotype: G6,G6,G6,None
MN166826,Sequencing Technology :: Sanger dideoxy sequencing,25-DEC-2019,MN166826,Rotavirus A,genomic RNA,fecal sample,taxon:28875,Czech Republic,Jan-2017,,1786708000,824,"{'gb': ['MN166826.1'], 'gi': ['1786708000']}",25-DEC-2019,2019-12-25,Europe,Homo sapiens,,,,,
HG513057,,02-SEP-2014,HG513057,Human rotavirus A,genomic RNA,stool specimen collected from a child with gastroenteritis,taxon:10941,Viet Nam,,,675817091,823,"{'emb': ['HG513057.1'], 'gi': ['675817091']}",02-SEP-2014,2014-09-02,Asia,Homo sapiens,,,,,
KC254788,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254788,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2011,,460479288,821,"{'gb': ['KC254788.1'], 'gi': ['460479288']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
HG513056,,02-SEP-2014,HG513056,Human rotavirus A,genomic RNA,stool specimen collected from a child with gastroenteritis,taxon:10941,Viet Nam,,,675817089,821,"{'emb': ['HG513056.1'], 'gi': ['675817089']}",02-SEP-2014,2014-09-02,Asia,Homo sapiens,,,,,
MH140441,Sequencing Technology :: Sanger dideoxy sequencing,19-JAN-2019,MH140441,Rotavirus A,genomic RNA,feces,taxon:28875,Bangladesh,21-Mar-2017,,1554611730,820,"{'gb': ['MH140441.1'], 'gi': ['1554611730']}",19-JAN-2019,2019-01-19,Asia,cow,,genotype: G6P[11],G6P[11],G6,P11
KC254792,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254792,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2011,,460479296,819,"{'gb': ['KC254792.1'], 'gi': ['460479296']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
KJ701398,Sequencing Technology :: Sanger dideoxy sequencing,07-JUL-2014,KJ701398,Human rotavirus A,genomic RNA,diarrheal stool,taxon:10941,India,06-Jun-2012,P. Chakraborty,661920311,814,"{'gb': ['KJ701398.1'], 'gi': ['661920311']}",07-JUL-2014,2014-07-07,Asia,Homo sapiens,,,,,
KM609903,Sequencing Technology :: Sanger dideoxy sequencing,27-JAN-2015,KM609903,Bovine rotavirus A,genomic RNA,,taxon:35333,Iran,28-Aug-2010,,749415383,810,"{'gb': ['KM609903.1'], 'gi': ['749415383']}",06-OCT-2016,2016-10-06,Asia,bovine,,genotype: G6,G6,G6,None
KY021129,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021129,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,19-Jun-2014,,1205242813,810,"{'gb': ['KY021129.1'], 'gi': ['1205242813']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
KX121165,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121165,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645887,809,"{'gb': ['KX121165.1'], 'gi': ['1129645887']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121166,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121166,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645889,809,"{'gb': ['KX121166.1'], 'gi': ['1129645889']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121167,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121167,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645891,809,"{'gb': ['KX121167.1'], 'gi': ['1129645891']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121168,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121168,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645893,809,"{'gb': ['KX121168.1'], 'gi': ['1129645893']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121169,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121169,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645895,809,"{'gb': ['KX121169.1'], 'gi': ['1129645895']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121170,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121170,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645897,809,"{'gb': ['KX121170.1'], 'gi': ['1129645897']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121171,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121171,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645899,809,"{'gb': ['KX121171.1'], 'gi': ['1129645899']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121172,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121172,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645901,809,"{'gb': ['KX121172.1'], 'gi': ['1129645901']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121173,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121173,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645903,809,"{'gb': ['KX121173.1'], 'gi': ['1129645903']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
KX121174,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121174,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645905,809,"{'gb': ['KX121174.1'], 'gi': ['1129645905']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
AB625620,,10-JAN-2013,AB625620,Bovine rotavirus,genomic RNA,faecal specimen of male calf,taxon:10927,India,11-Sep-2009,"Nataraju,S.M.",441415054,804,"{'dbj': ['AB625620.1'], 'gi': ['441415054']}",10-JAN-2013,2013-01-10,Asia,Bos taurus,Kolkata,genotype: G6,G6,G6,None
KX121183,Sequencing Technology :: Sanger dideoxy sequencing,14-JAN-2017,KX121183,Rotavirus A,genomic RNA,stool sample,taxon:28875,Brazil,2013,,1129645923,804,"{'gb': ['KX121183.1'], 'gi': ['1129645923']}",14-JAN-2017,2017-01-14,South America,bovine,,,,,
JN007389,,25-OCT-2011,JN007389,Bovine rotavirus,genomic RNA,feces,taxon:10927,Italy,2005,,353441886,801,"{'gb': ['JN007389.1'], 'gi': ['353441886']}",25-JUL-2016,2016-07-25,Europe,bovine,,genotype: G6,G6,G6,None
KP013385,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013385,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181259,801,"{'gb': ['KP013385.1'], 'gi': ['757181259']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G6,G6,G6,None
KP013386,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013386,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181261,801,"{'gb': ['KP013386.1'], 'gi': ['757181261']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G6,G6,G6,None
KP013387,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013387,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181263,801,"{'gb': ['KP013387.1'], 'gi': ['757181263']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G6,G6,G6,None
KP013388,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013388,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181265,801,"{'gb': ['KP013388.1'], 'gi': ['757181265']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G6,G6,G6,None
KP013389,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013389,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181267,801,"{'gb': ['KP013389.1'], 'gi': ['757181267']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G6,G6,G6,None
KP013390,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013390,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181269,801,"{'gb': ['KP013390.1'], 'gi': ['757181269']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G10,G10,G10,None
KP013391,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013391,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181271,801,"{'gb': ['KP013391.1'], 'gi': ['757181271']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G10,G10,G10,None
KP013392,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013392,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181273,801,"{'gb': ['KP013392.1'], 'gi': ['757181273']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G10,G10,G10,None
KP013393,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013393,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181275,801,"{'gb': ['KP013393.1'], 'gi': ['757181275']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G10,G10,G10,None
KP013394,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013394,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181277,801,"{'gb': ['KP013394.1'], 'gi': ['757181277']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G10,G10,G10,None
KP013395,Sequencing Technology :: Sanger dideoxy sequencing,22-FEB-2015,KP013395,Rotavirus A,genomic RNA,diarrhoeic feces,taxon:28875,Iran,2011,,757181279,801,"{'gb': ['KP013395.1'], 'gi': ['757181279']}",01-OCT-2015,2015-10-01,Asia,bovine calf,,genotype: G10,G10,G10,None
DQ683517,,24-JUL-2006,DQ683517,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,,,110559356,800,"{'gb': ['DQ683517.1'], 'gi': ['110559356']}",14-JUL-2016,2016-07-14,Asia,,,genotype: G4,G4,G4,None
KF724053,,29-DEC-2013,KF724053,Bovine rotavirus A,genomic RNA,calf feces,taxon:35333,Tunisia,02-Oct-2010,,568604397,797,"{'gb': ['KF724053.1'], 'gi': ['568604397']}",02-JUN-2014,2014-06-02,Africa,bovine,,genotype: G6,G6,G6,None
KY077645,Assembly Method :: Geneious Software v. 8 ; Assembly Name :: Mapping ; Coverage :: 100-20000 ; Sequencing Technology :: Illumina,19-JUL-2017,KY077645,Rotavirus A,genomic RNA,feces,taxon:28875,Uganda,07-Jan-2014,,1215710392,797,"{'gb': ['KY077645.1'], 'gi': ['1215710392']}",19-JUL-2017,2017-07-19,Africa,Sus scrofa domesticus,,"collected from an asymptomatic animal;
genotype: G3-P[13]-I1-R1-C1-M1-A8-N1-T7-E1-H1",G3-P[13]-I1-R1-C1-M1-A8-N1-T7-E1-H1,G3,P13
DQ683510,,24-JUL-2006,DQ683510,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,,,110559342,794,"{'gb': ['DQ683510.1'], 'gi': ['110559342']}",14-JUL-2016,2016-07-14,Asia,,,genotype: G4,G4,G4,None
JF689841,,30-APR-2012,JF689841,Bovine rotavirus A,genomic RNA,feces,taxon:35333,India,2010,,376341562,791,"{'gb': ['JF689841.1'], 'gi': ['376341562']}",30-APR-2012,2012-04-30,Asia,bovine,,serogroup: A; genotype: G6,G6,G6,None
GQ282607,,10-OCT-2009,GQ282607,Rotavirus A,genomic RNA,,taxon:28875,Argentina,2006,,260534378,789,"{'gb': ['GQ282607.1'], 'gi': ['260534378']}",24-JUL-2016,2016-07-24,South America,Homo sapiens,,genotype: G9P8,G9P8,G9,P8
GQ282608,,10-OCT-2009,GQ282608,Rotavirus A,genomic RNA,,taxon:28875,Argentina,2006,,260534380,789,"{'gb': ['GQ282608.1'], 'gi': ['260534380']}",24-JUL-2016,2016-07-24,South America,Homo sapiens,,genotype: G9P8,G9P8,G9,P8
GQ282609,,10-OCT-2009,GQ282609,Rotavirus A,genomic RNA,,taxon:28875,Argentina,2006,,260534382,789,"{'gb': ['GQ282609.1'], 'gi': ['260534382']}",24-JUL-2016,2016-07-24,South America,Homo sapiens,,genotype: G9P8,G9P8,G9,P8
GQ282610,,10-OCT-2009,GQ282610,Rotavirus A,genomic RNA,,taxon:28875,Argentina,2006,,260534384,789,"{'gb': ['GQ282610.1'], 'gi': ['260534384']}",24-JUL-2016,2016-07-24,South America,Homo sapiens,,genotype: G9P8,G9P8,G9,P8
GQ282611,,10-OCT-2009,GQ282611,Rotavirus A,genomic RNA,,taxon:28875,Argentina,2006,,260534386,789,"{'gb': ['GQ282611.1'], 'gi': ['260534386']}",24-JUL-2016,2016-07-24,South America,Homo sapiens,,,,,
AB625619,,10-JAN-2013,AB625619,Bovine rotavirus,genomic RNA,faecal specimen of mail calf,taxon:10927,India,02-Aug-2009,"Nataraju,S.M.",441415052,789,"{'dbj': ['AB625619.1'], 'gi': ['441415052']}",10-JAN-2013,2013-01-10,Asia,Bos taurus,Kolkata,genotype: G6,G6,G6,None
MH785304,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785304,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427944,789,"{'gb': ['MH785304.1'], 'gi': ['1490427944']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P13-I5-R1-C1-Mx-A8-N1-T7-E1-H1,G3-P13-I5-R1-C1-Mx-A8-N1-T7-E1-H1,G3,P13
MH785305,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785305,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427946,789,"{'gb': ['MH785305.1'], 'gi': ['1490427946']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P23-I5-R1-C1-Mx-Ax-N1-Tx-E1-H1,G3-P23-I5-R1-C1-Mx-Ax-N1-Tx-E1-H1,G3,P23
MH785306,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785306,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427948,789,"{'gb': ['MH785306.1'], 'gi': ['1490427948']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G5-P13-I5-R1-C1-Mx-A8-Nx-T7-E1-H1,G5-P13-I5-R1-C1-Mx-A8-Nx-T7-E1-H1,G5,P13
MH785307,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785307,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427950,789,"{'gb': ['MH785307.1'], 'gi': ['1490427950']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P13-Ix-R1-C1-M1-A8-N1-T7-E1-H1,G3-P13-Ix-R1-C1-M1-A8-N1-T7-E1-H1,G3,P13
MH785308,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785308,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427952,789,"{'gb': ['MH785308.1'], 'gi': ['1490427952']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-Px-Ix-R1-C1-M2-Ax-Nx-T7-E1-H1,G3-Px-Ix-R1-C1-M2-Ax-Nx-T7-E1-H1,G3,P
MH785309,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785309,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427954,789,"{'gb': ['MH785309.1'], 'gi': ['1490427954']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P23-I5-R1-C1-M1-A8-N1-Tx-E1-H1,G3-P23-I5-R1-C1-M1-A8-N1-Tx-E1-H1,G3,P23
MH785310,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785310,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427956,789,"{'gb': ['MH785310.1'], 'gi': ['1490427956']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P23-I5-R1-C1-M1-A8-N1-T1-E1-H1,G3-P23-I5-R1-C1-M1-A8-N1-T1-E1-H1,G3,P23
MH785311,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785311,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427958,789,"{'gb': ['MH785311.1'], 'gi': ['1490427958']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G5-P13-Ix-R1-C1-Mx-A8-N1-T7-E1-H1,G5-P13-Ix-R1-C1-Mx-A8-N1-T7-E1-H1,G5,P13
MH785312,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785312,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427960,789,"{'gb': ['MH785312.1'], 'gi': ['1490427960']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G5-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G5-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G5,P13
MH785313,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785313,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427962,789,"{'gb': ['MH785313.1'], 'gi': ['1490427962']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G3-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G3,P13
MH785314,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785314,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427964,789,"{'gb': ['MH785314.1'], 'gi': ['1490427964']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P23-I5-R1-C1-Mx-Ax-N1-T1-E1-H1,G3-P23-I5-R1-C1-Mx-Ax-N1-T1-E1-H1,G3,P23
MH785315,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785315,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427966,789,"{'gb': ['MH785315.1'], 'gi': ['1490427966']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G5-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G5-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G5,P13
MH785316,Sequencing Technology :: Sanger dideoxy sequencing,21-SEP-2019,MH785316,Rotavirus A,genomic RNA,porcine stool,taxon:28875,Brazil,2008,,1490427968,789,"{'gb': ['MH785316.1'], 'gi': ['1490427968']}",21-SEP-2019,2019-09-21,South America,Sus scrofa,Para,genotype: G3-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G3-P13-I5-R1-C1-M1-A8-N1-T7-E1-H1,G3,P13
